%
% GALE automatic stratified fold generation for CV
%
% Generated at        : Wed Feb 21 23:46:15 CET 2001
% Random seed         : 69
% File name           : GALE.horse-colic.cv.seed.69.fold.000002.train.arff
% Number of instances : 331
%

@RELATION horse-colic

@ATTRIBUTE	'surgery'	{yes,no}
@ATTRIBUTE	'Age'	{adult,young}
@ATTRIBUTE	'rectal_temperature'	REAL
@ATTRIBUTE	'pulse'	REAL
@ATTRIBUTE	'respiratory_rate'	REAL
@ATTRIBUTE	'temp_extremities'	{normal,warm,cool,cold}
@ATTRIBUTE	'peripheral_pulse'	{normal,increased,reduced,absent}
@ATTRIBUTE	'mucous_membranes'	{'normal_pink','bright_pink','pale_pink','pale_cyanotic','bright_red','dark_cyanotic'}
@ATTRIBUTE	'capillary_refill_time'	{'<3','>=3','meaning_unknown'}
@ATTRIBUTE	'pain'	{'alert_no_pain',depressed,'intermittent_mild_pain','intermittent_severe_pain','continuous_severe_pain'}
@ATTRIBUTE	'peristalsis'	{hypermotile,normal,hypomotile,absent}
@ATTRIBUTE	'abdominal_distension'	{none,slight,moderate,severe}
@ATTRIBUTE	'nasogastric_tube'	{none,slight,significant}
@ATTRIBUTE	'nasogastric_reflux'	{none,'>1l','<1l'}
@ATTRIBUTE	'nasogastric_reflux_PH'	REAL
@ATTRIBUTE	'rectal_examination'	{normal,increased,decreased,absent}
@ATTRIBUTE	'abdomen'	{normal,other,'firm_feces_in_large_intestine','distended_small_intestine','distended_large_intestine'}
@ATTRIBUTE	'packed_cell_volume'	REAL
@ATTRIBUTE	'total_protein'	REAL
@ATTRIBUTE	'abdominocentesis_appearance'	{clear,cloudy,serosanguinous}
@ATTRIBUTE	'abdomcentesis_total_protein'	REAL
@ATTRIBUTE	'outcome'	{lived,died,euthanized}
@ATTRIBUTE	'surgical_lesion'	{yes,no}

@DATA
yes,adult,38.5,86.0,?,normal,normal,'pale_pink','<3','intermittent_severe_pain',absent,moderate,slight,none,?,decreased,'distended_large_intestine',45.0,7.4,clear,3.4,died,yes
no,adult,38.5,40.0,16.0,normal,normal,'normal_pink','<3',depressed,hypermotile,none,?,?,?,decreased,other,37.0,67.0,?,?,lived,no
no,adult,37.5,48.0,16.0,normal,normal,'normal_pink','<3','alert_no_pain',hypermotile,none,none,none,?,normal,?,37.0,6.5,?,?,lived,no
yes,young,39.1,164.0,84.0,cold,normal,'dark_cyanotic','>=3',depressed,absent,severe,none,'>1l',5.0,decreased,?,48.0,7.2,serosanguinous,5.3,died,yes
yes,adult,38.1,84.0,44.0,cold,?,'pale_cyanotic','>=3','continuous_severe_pain',hypomotile,none,none,'<1l',5.0,?,'distended_small_intestine',60.0,6.8,?,5.7,died,yes
no,adult,37.6,48.0,36.0,?,?,'normal_pink','<3',?,hypomotile,?,?,?,?,?,?,44.0,6.3,clear,5.0,lived,no
yes,adult,?,70.0,16.0,cool,absent,'bright_red','>=3',depressed,hypomotile,slight,slight,none,?,absent,'distended_large_intestine',60.0,7.5,?,?,died,yes
no,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,no
yes,adult,?,52.0,28.0,cool,reduced,'pale_cyanotic','<3','intermittent_mild_pain',absent,moderate,slight,none,?,absent,'distended_small_intestine',37.0,8.1,?,?,lived,yes
no,adult,39.0,86.0,16.0,cool,reduced,'bright_red',?,'intermittent_mild_pain',hypomotile,moderate,?,'>1l',?,?,?,68.0,5.8,serosanguinous,6.0,died,yes
yes,adult,37.4,84.0,20.0,?,?,'pale_pink','<3',depressed,hypomotile,moderate,?,?,?,?,?,31.0,61.0,?,1.0,euthanized,no
no,adult,38.0,42.0,40.0,cool,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,none,?,?,?,?,?,?,?,?,?,lived,no
no,adult,36.0,100.0,20.0,cold,reduced,'dark_cyanotic','>=3',depressed,absent,moderate,none,none,?,absent,'distended_large_intestine',74.0,5.7,cloudy,2.5,euthanized,yes
no,adult,?,?,12.0,normal,normal,'bright_pink','<3',depressed,hypermotile,slight,significant,none,?,normal,'firm_feces_in_large_intestine',44.0,7.5,cloudy,?,lived,no
yes,adult,37.8,88.0,80.0,cool,reduced,'bright_red','>=3',?,hypomotile,moderate,slight,'<1l',?,absent,'distended_large_intestine',64.0,89.0,?,?,euthanized,yes
yes,adult,38.0,86.0,24.0,cold,reduced,'pale_cyanotic','<3',depressed,absent,severe,none,none,?,absent,'distended_large_intestine',45.0,5.5,clear,10.1,died,yes
yes,adult,38.7,?,?,cool,normal,'pale_pink','<3','continuous_severe_pain',absent,slight,?,?,?,?,?,33.0,6.5,cloudy,?,lived,yes
yes,adult,?,82.0,72.0,cool,normal,'pale_cyanotic','<3',depressed,hypomotile,moderate,?,'<1l',?,absent,'distended_small_intestine',53.0,65.0,serosanguinous,2.0,euthanized,yes
yes,adult,38.6,48.0,12.0,?,?,'normal_pink',?,'alert_no_pain',hypermotile,?,?,?,?,?,?,36.0,67.0,?,?,lived,no
yes,adult,38.3,44.0,21.0,cool,normal,'bright_pink','<3','intermittent_mild_pain',hypomotile,moderate,slight,none,?,normal,'distended_large_intestine',44.0,6.5,cloudy,4.4,lived,yes
no,young,39.0,150.0,72.0,?,?,?,?,?,?,?,?,?,?,?,?,47.0,8.5,?,0.1,lived,yes
no,adult,37.7,96.0,30.0,cool,reduced,'pale_cyanotic','>=3','continuous_severe_pain',absent,severe,significant,'>1l',4.0,absent,'distended_large_intestine',66.0,7.5,?,?,died,yes
no,adult,38.5,60.0,20.0,normal,normal,'bright_red','>=3',depressed,normal,none,slight,none,?,increased,'firm_feces_in_large_intestine',63.0,7.5,cloudy,2.3,euthanized,no
yes,young,38.5,120.0,70.0,?,?,?,?,?,hypermotile,?,slight,?,?,normal,?,35.0,54.0,clear,1.0,lived,yes
no,adult,38.0,48.0,12.0,normal,normal,'normal_pink','<3','alert_no_pain',hypomotile,?,none,none,?,decreased,other,42.0,6.3,cloudy,4.1,lived,no
no,adult,40.0,78.0,?,cool,reduced,'bright_red','<3',depressed,hypomotile,none,none,none,?,absent,normal,66.0,6.5,?,?,died,yes
no,adult,37.7,40.0,18.0,normal,normal,'normal_pink',?,'intermittent_mild_pain',normal,none,none,none,?,decreased,'firm_feces_in_large_intestine',36.0,3.5,?,?,lived,no
no,young,39.5,84.0,30.0,?,?,?,'<3',?,?,?,?,?,?,?,?,28.0,5.0,?,?,lived,no
yes,adult,37.1,40.0,8.0,?,normal,'pale_cyanotic','<3','intermittent_mild_pain',hypomotile,none,none,none,?,decreased,'firm_feces_in_large_intestine',23.0,6.7,serosanguinous,?,lived,yes
yes,adult,37.3,48.0,20.0,?,normal,'bright_pink','<3','intermittent_mild_pain',hypomotile,moderate,slight,none,?,decreased,'distended_large_intestine',41.0,69.0,?,?,lived,yes
yes,adult,37.7,55.0,28.0,warm,normal,'bright_pink','<3',depressed,hypomotile,moderate,?,'<1l',5.0,absent,'distended_large_intestine',?,?,?,?,lived,yes
yes,adult,?,80.0,?,cool,reduced,'pale_pink','<3','intermittent_severe_pain',absent,severe,?,?,?,absent,'distended_large_intestine',43.0,70.0,?,?,lived,yes
no,adult,38.7,52.0,?,normal,normal,'normal_pink','<3','alert_no_pain',hypomotile,none,?,?,?,normal,'firm_feces_in_large_intestine',4.0,74.0,?,?,lived,no
yes,adult,38.7,60.0,32.0,cold,reduced,'bright_pink','>=3','intermittent_severe_pain',absent,severe,?,?,?,absent,'distended_large_intestine',53.0,64.0,serosanguinous,2.0,euthanized,yes
no,adult,37.5,44.0,10.0,cool,normal,'normal_pink','<3','intermittent_mild_pain',hypermotile,slight,slight,?,?,decreased,'firm_feces_in_large_intestine',43.0,51.0,clear,1.0,lived,no
yes,adult,?,?,?,?,?,?,?,'intermittent_severe_pain',?,?,none,none,?,?,'distended_large_intestine',35.0,58.0,cloudy,1.0,lived,yes
no,adult,38.6,46.0,?,normal,normal,'bright_pink','<3','alert_no_pain',hypomotile,slight,none,none,?,?,other,49.0,9.1,clear,1.6,lived,no
no,adult,37.6,48.0,20.0,cool,normal,'pale_cyanotic','<3','alert_no_pain',hypermotile,moderate,slight,none,?,normal,normal,37.0,5.5,?,?,euthanized,yes
yes,adult,38.0,66.0,20.0,normal,reduced,'pale_pink','<3','continuous_severe_pain',hypomotile,none,none,none,?,decreased,?,46.0,46.0,serosanguinous,2.0,euthanized,yes
no,adult,38.6,40.0,20.0,?,?,?,'<3',?,?,?,?,?,?,?,?,41.0,6.4,?,?,lived,no
no,adult,37.3,104.0,35.0,?,?,'dark_cyanotic','>=3',?,?,?,?,?,?,?,?,74.0,7.4,?,?,died,no
no,adult,38.4,54.0,24.0,normal,normal,'normal_pink','<3','alert_no_pain',hypomotile,none,slight,none,?,decreased,other,49.0,7.2,clear,?,lived,no
no,adult,40.3,114.0,36.0,cool,reduced,'normal_pink','>=3',depressed,hypomotile,moderate,slight,none,7.0,normal,'distended_large_intestine',57.0,8.1,serosanguinous,4.5,euthanized,yes
yes,adult,37.1,60.0,20.0,warm,?,'pale_cyanotic','<3','intermittent_mild_pain',?,moderate,?,'>1l',5.0,decreased,'distended_small_intestine',64.0,8.5,cloudy,?,lived,yes
no,adult,37.7,48.0,?,warm,normal,'normal_pink','<3','alert_no_pain',hypermotile,none,none,none,?,?,?,45.0,76.0,?,?,lived,no
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes
no,adult,38.3,112.0,16.0,?,reduced,'bright_red','>=3',?,?,none,none,'>1l',?,?,'distended_large_intestine',51.0,6.0,cloudy,1.0,euthanized,no
yes,adult,37.4,84.0,36.0,normal,?,'pale_pink','>=3','intermittent_mild_pain',hypomotile,slight,?,?,?,absent,'distended_large_intestine',?,?,serosanguinous,?,died,yes
yes,adult,38.2,60.0,?,normal,?,'pale_pink','<3',depressed,hypermotile,none,none,none,?,absent,'distended_small_intestine',43.0,6.2,cloudy,3.9,lived,yes
yes,adult,38.7,96.0,28.0,cool,reduced,'pale_cyanotic','<3',?,absent,?,?,'<1l',7.5,?,?,64.0,9.0,?,?,died,yes
no,adult,38.0,72.0,36.0,normal,normal,'pale_pink','<3','intermittent_mild_pain',?,slight,slight,none,?,decreased,'distended_large_intestine',38.0,6.8,cloudy,2.0,lived,no
no,adult,38.7,48.0,24.0,?,?,?,?,'alert_no_pain',hypermotile,?,none,none,?,normal,?,34.0,63.0,?,?,lived,no
yes,young,38.1,136.0,48.0,cool,reduced,'pale_pink','<3','continuous_severe_pain',hypermotile,moderate,slight,'>1l',4.4,increased,?,33.0,4.9,cloudy,2.9,died,yes
no,adult,40.3,114.0,36.0,cool,reduced,'normal_pink','>=3',depressed,hypomotile,moderate,slight,none,7.0,normal,'distended_large_intestine',57.0,8.1,serosanguinous,4.5,died,yes
yes,adult,38.1,72.0,30.0,cool,reduced,'pale_pink','<3','intermittent_severe_pain',absent,moderate,slight,none,?,decreased,'distended_large_intestine',37.0,56.0,serosanguinous,1.0,lived,yes
yes,adult,38.4,92.0,20.0,normal,?,?,'>=3',?,hypomotile,moderate,?,?,?,normal,?,?,?,?,?,lived,yes
no,adult,38.6,45.0,16.0,warm,normal,'bright_pink','<3','alert_no_pain',hypermotile,?,?,?,?,normal,normal,43.0,58.0,?,?,lived,no
no,adult,38.0,60.0,32.0,normal,normal,?,'<3','intermittent_mild_pain',hypomotile,?,none,none,?,?,?,50.0,7.0,clear,1.0,lived,no
yes,adult,37.7,44.0,28.0,?,absent,'pale_pink','>=3','continuous_severe_pain',absent,severe,none,none,?,decreased,'distended_large_intestine',45.0,70.0,serosanguinous,2.0,lived,yes
yes,adult,37.9,48.0,16.0,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,moderate,none,none,?,decreased,'distended_large_intestine',37.0,7.0,?,?,lived,yes
no,adult,?,80.0,36.0,cool,absent,'pale_pink','<3','intermittent_severe_pain',absent,severe,slight,none,?,decreased,'distended_large_intestine',38.0,6.2,?,?,euthanized,yes
yes,adult,35.4,140.0,24.0,cool,reduced,'pale_cyanotic','>=3','intermittent_severe_pain',absent,?,slight,none,?,?,'distended_large_intestine',57.0,69.0,serosanguinous,2.0,euthanized,yes
yes,adult,?,?,?,cool,reduced,'pale_pink','>=3','continuous_severe_pain',hypomotile,moderate,significant,'>1l',?,absent,'distended_large_intestine',46.0,5.9,?,?,died,yes
yes,adult,38.0,60.0,12.0,normal,normal,'bright_pink','<3',depressed,hypermotile,none,none,none,?,normal,'distended_small_intestine',44.0,65.0,serosanguinous,2.0,euthanized,yes
yes,adult,38.5,30.0,18.0,?,?,?,?,?,?,?,?,?,?,?,?,40.0,7.7,?,?,lived,yes
yes,adult,39.0,120.0,?,cold,reduced,'bright_red','>=3',depressed,absent,moderate,slight,'<1l',8.0,?,?,65.0,8.2,serosanguinous,4.6,lived,no
no,adult,38.6,52.0,?,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,slight,none,none,?,normal,'firm_feces_in_large_intestine',32.0,6.6,clear,5.0,lived,no
yes,adult,?,88.0,?,cool,reduced,'dark_cyanotic','>=3','continuous_severe_pain',hypomotile,moderate,none,'<1l',?,absent,'distended_large_intestine',63.0,6.5,serosanguinous,?,died,yes
yes,adult,37.2,42.0,12.0,warm,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,moderate,significant,none,?,absent,'distended_large_intestine',?,7.0,?,?,lived,no
no,adult,37.8,48.0,12.0,warm,normal,'bright_pink','<3','intermittent_mild_pain',?,none,slight,?,?,increased,?,48.0,7.3,clear,?,lived,no
yes,adult,38.3,40.0,18.0,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypermotile,none,?,?,?,increased,normal,43.0,5.9,clear,?,lived,no
no,adult,?,?,?,cool,absent,'dark_cyanotic',?,'intermittent_severe_pain',?,severe,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,38.2,48.0,18.0,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,moderate,none,'>1l',?,absent,?,48.0,74.0,clear,2.0,lived,yes
no,adult,38.0,42.0,12.0,cool,?,'pale_pink','<3','alert_no_pain',hypermotile,none,?,?,?,?,normal,37.0,5.8,?,?,lived,no
yes,young,38.9,120.0,30.0,normal,reduced,'bright_pink','>=3','intermittent_mild_pain',hypomotile,moderate,significant,none,3.0,?,?,47.0,6.3,clear,?,lived,no
no,adult,38.3,88.0,?,?,?,'dark_cyanotic',?,?,?,?,?,?,?,?,?,?,?,?,?,died,no
no,adult,37.6,88.0,36.0,cool,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,slight,none,'<1l',1.5,?,?,44.0,6.0,?,?,died,yes
yes,adult,38.3,66.0,30.0,warm,reduced,'normal_pink','<3',depressed,absent,moderate,significant,'>1l',8.5,absent,'distended_large_intestine',37.0,6.0,?,?,lived,yes
no,adult,38.6,56.0,32.0,warm,normal,'normal_pink','<3','alert_no_pain',hypermotile,none,slight,?,?,increased,?,40.0,7.0,cloudy,2.1,lived,no
no,adult,38.2,60.0,24.0,cool,normal,'pale_pink','>=3','intermittent_mild_pain',hypomotile,slight,significant,'<1l',?,absent,'distended_small_intestine',53.0,7.5,cloudy,1.4,lived,no
yes,adult,38.0,50.0,36.0,?,normal,'normal_pink','<3','intermittent_mild_pain',normal,slight,?,?,?,decreased,?,39.0,6.6,clear,5.3,lived,yes
no,adult,38.2,42.0,16.0,normal,normal,'pale_pink','<3','alert_no_pain',hypomotile,none,?,?,?,normal,?,35.0,60.0,clear,1.0,lived,no
yes,adult,38.5,129.0,48.0,cool,reduced,'pale_pink','<3',depressed,absent,moderate,none,'<1l',2.0,?,?,57.0,66.0,serosanguinous,2.0,lived,yes
yes,adult,38.7,34.0,30.0,warm,?,'pale_pink','<3',depressed,hypomotile,?,?,?,?,?,?,33.0,69.0,?,2.0,euthanized,yes
no,adult,?,96.0,?,cool,reduced,'pale_pink','>=3','continuous_severe_pain',absent,severe,none,'>1l',?,absent,'distended_large_intestine',60.0,?,?,?,died,yes
yes,adult,?,60.0,40.0,cool,?,'normal_pink','<3',?,absent,?,significant,'>1l',?,?,'distended_large_intestine',42.0,72.0,?,?,lived,yes
yes,adult,37.5,96.0,18.0,normal,reduced,'dark_cyanotic','>=3','intermittent_mild_pain',absent,slight,slight,'<1l',5.0,?,'distended_small_intestine',69.0,8.9,serosanguinous,?,lived,yes
no,adult,38.0,44.0,12.0,warm,normal,'pale_pink','<3','intermittent_mild_pain',absent,moderate,none,'>1l',6.5,normal,'distended_small_intestine',33.0,6.5,?,?,died,yes
no,adult,37.3,50.0,32.0,normal,normal,'pale_pink','<3','alert_no_pain',hypomotile,slight,?,?,?,normal,?,44.0,7.0,?,?,lived,no
no,adult,39.0,64.0,40.0,normal,normal,'bright_red','<3','intermittent_mild_pain',hypomotile,slight,slight,none,?,decreased,'firm_feces_in_large_intestine',42.0,7.5,cloudy,2.3,lived,no
yes,adult,36.5,78.0,30.0,normal,?,'normal_pink','<3','continuous_severe_pain',hypomotile,none,?,none,?,?,?,34.0,75.0,cloudy,1.0,lived,yes
yes,adult,38.5,66.0,24.0,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,none,slight,none,?,absent,'distended_large_intestine',40.0,6.7,clear,?,lived,yes
yes,adult,37.8,30.0,12.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,37.3,40.0,?,?,reduced,'normal_pink','<3',depressed,hypomotile,slight,significant,none,?,decreased,'distended_large_intestine',36.0,?,serosanguinous,2.0,lived,yes
yes,adult,38.7,76.0,?,normal,normal,'bright_red','>=3','intermittent_mild_pain',hypomotile,slight,slight,'>1l',?,absent,'distended_small_intestine',50.0,8.0,?,?,lived,yes
no,adult,37.4,54.0,18.0,cool,?,'normal_pink','<3','intermittent_mild_pain',absent,moderate,slight,'>1l',?,absent,'distended_large_intestine',30.0,7.1,cloudy,?,lived,yes
yes,adult,?,100.0,30.0,cool,reduced,'pale_cyanotic','>=3','continuous_severe_pain',absent,severe,significant,'<1l',?,absent,'distended_small_intestine',52.0,6.6,?,?,lived,yes
no,young,?,150.0,60.0,cold,absent,'pale_cyanotic','>=3','continuous_severe_pain',absent,severe,?,?,?,?,?,?,?,?,?,died,yes
no,adult,37.9,45.0,36.0,cool,reduced,'pale_pink','>=3',depressed,hypomotile,none,slight,none,?,decreased,?,33.0,5.7,serosanguinous,?,lived,yes
yes,adult,37.6,96.0,48.0,cool,normal,'pale_cyanotic','<3','continuous_severe_pain',hypomotile,moderate,slight,'<1l',4.5,absent,?,45.0,6.8,?,?,died,yes
yes,adult,39.1,60.0,10.0,?,normal,'normal_pink',?,depressed,hypomotile,?,?,?,?,absent,'distended_small_intestine',?,?,?,?,lived,yes
yes,adult,38.3,40.0,16.0,cool,?,?,'<3','alert_no_pain',hypomotile,slight,?,?,?,?,?,38.0,58.0,clear,2.0,lived,yes
no,adult,38.5,96.0,36.0,cool,reduced,?,'>=3',depressed,absent,slight,none,'>1l',?,absent,'distended_large_intestine',70.0,8.5,?,?,died,yes
no,adult,38.3,54.0,18.0,cool,normal,'bright_pink','<3',depressed,hypomotile,slight,?,'<1l',5.4,?,'distended_small_intestine',44.0,7.2,serosanguinous,?,lived,no
yes,adult,38.4,104.0,40.0,normal,normal,'pale_pink','<3',depressed,absent,slight,slight,'<1l',6.5,?,'distended_small_intestine',55.0,8.5,?,?,lived,yes
yes,adult,38.0,?,24.0,cool,reduced,'dark_cyanotic','>=3','continuous_severe_pain',?,severe,none,none,?,?,?,68.0,7.8,?,?,died,yes
no,adult,38.4,52.0,20.0,warm,normal,'pale_pink','<3','alert_no_pain',hypomotile,slight,slight,none,?,decreased,'distended_large_intestine',41.0,63.0,clear,1.0,lived,no
yes,adult,38.0,42.0,68.0,cold,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,slight,slight,'>1l',?,absent,'distended_small_intestine',41.0,7.6,?,?,lived,yes
yes,adult,37.0,66.0,20.0,normal,reduced,'bright_pink','<3','intermittent_severe_pain',hypomotile,moderate,none,?,?,normal,'distended_large_intestine',35.0,6.9,cloudy,?,died,yes
no,adult,38.2,42.0,26.0,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypermotile,slight,?,?,?,normal,?,36.0,6.9,?,?,lived,no
no,adult,37.9,54.0,42.0,warm,normal,'bright_red','<3','intermittent_mild_pain',hypermotile,none,?,none,?,?,other,47.0,54.0,serosanguinous,1.0,lived,no
yes,adult,37.7,66.0,12.0,normal,normal,'pale_pink','<3','intermittent_mild_pain',hypomotile,slight,slight,?,?,absent,'distended_small_intestine',31.5,6.2,cloudy,1.6,lived,yes
no,young,38.6,88.0,28.0,?,?,?,?,?,?,?,?,?,?,?,?,35.0,5.9,?,?,lived,no
no,adult,38.4,48.0,16.0,warm,normal,'normal_pink','<3','alert_no_pain',?,slight,slight,none,?,?,other,39.0,6.5,?,?,lived,no
yes,adult,37.5,72.0,?,warm,normal,'normal_pink','<3',depressed,hypermotile,none,none,none,?,normal,?,35.0,65.0,cloudy,2.0,euthanized,yes
yes,adult,38.0,80.0,30.0,cool,reduced,'pale_pink','<3',?,?,?,?,?,6.0,?,?,48.0,8.3,?,4.3,lived,yes
no,adult,37.8,56.0,16.0,normal,normal,'bright_pink','<3',depressed,hypermotile,none,slight,none,?,normal,?,44.0,68.0,clear,1.0,lived,no
yes,adult,?,36.0,32.0,normal,normal,'pale_cyanotic','<3','continuous_severe_pain',hypomotile,moderate,slight,'<1l',4.0,?,'distended_small_intestine',41.0,5.9,?,?,died,yes
no,adult,38.2,68.0,32.0,warm,increased,'bright_pink','<3','alert_no_pain',hypermotile,none,significant,none,?,normal,normal,43.0,65.0,?,?,lived,no
no,adult,?,52.0,16.0,normal,?,'pale_pink','<3',?,?,?,slight,'<1l',5.5,?,?,55.0,7.2,?,?,lived,no
yes,adult,38.4,49.0,?,?,?,'normal_pink','<3',?,?,none,slight,none,?,?,?,44.0,7.6,?,?,lived,yes
yes,adult,39.4,120.0,48.0,?,?,'bright_red','<3',?,hypomotile,moderate,none,?,?,absent,?,56.0,64.0,clear,2.0,euthanized,no
no,adult,38.4,54.0,24.0,normal,normal,'normal_pink','<3','alert_no_pain',hypomotile,none,slight,none,?,decreased,other,49.0,7.2,clear,8.0,lived,no
yes,adult,38.3,80.0,?,cool,reduced,'pale_cyanotic','>=3','continuous_severe_pain',absent,moderate,slight,none,?,absent,'distended_small_intestine',45.0,7.5,cloudy,4.6,lived,yes
no,adult,37.5,44.0,?,normal,normal,'normal_pink','<3','intermittent_mild_pain',hypomotile,slight,?,?,?,?,?,45.0,5.8,cloudy,1.4,lived,no
yes,adult,38.4,84.0,30.0,cool,normal,'bright_red','>=3','intermittent_severe_pain',hypomotile,moderate,slight,'<1l',6.5,absent,'distended_small_intestine',47.0,7.5,serosanguinous,?,died,yes
yes,adult,39.7,100.0,30.0,?,?,'dark_cyanotic','>=3','intermittent_severe_pain',absent,moderate,none,?,?,absent,'distended_large_intestine',65.0,75.0,?,?,euthanized,yes
yes,adult,39.9,72.0,60.0,normal,normal,'bright_red','>=3','continuous_severe_pain',absent,severe,significant,none,?,absent,'distended_small_intestine',46.0,6.1,cloudy,?,lived,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24.0,6.7,?,?,lived,yes
yes,adult,37.6,64.0,21.0,normal,normal,'bright_pink','<3',depressed,hypomotile,none,none,none,?,increased,'distended_large_intestine',40.0,7.0,clear,?,lived,yes
no,adult,38.0,52.0,16.0,?,?,?,?,depressed,?,?,?,'<1l',1.0,normal,normal,53.0,86.0,?,?,lived,yes
yes,adult,37.5,60.0,50.0,cool,reduced,'normal_pink','<3','intermittent_mild_pain',hypomotile,slight,slight,'>1l',3.5,decreased,'distended_small_intestine',35.0,6.5,?,?,died,yes
no,adult,37.5,48.0,30.0,cold,normal,'pale_pink','<3',?,normal,none,none,none,?,normal,normal,48.0,8.6,?,?,lived,no
yes,adult,?,60.0,30.0,cool,reduced,'pale_cyanotic','>=3','continuous_severe_pain',absent,severe,none,none,?,absent,?,45.0,70.0,serosanguinous,2.0,lived,yes
